Drill Name,Status,Shot/Type,Visuals,Focus Area,Number of Players,Singles/Doubles,Difficulty,Equipment,Time,Description,Coaching Tip,Priority,AI summary
Elevator,Not Implemented,Doubles Points,,Attack,4,Doubles,Intermediate,None,20 mins,"Coin toss to see who starts. Both teams start at the baseline. Loser of the coin toss feeds anywhere from behind the baseline but have to wait til the other team are ready. Winner of the point starts the next point at the service line, loser starts it at the baseline and feeds. If the team that won the first point wins the second point then they move to start by touching the net. Losing team then feeds a lob from the baseline. If the team that won the first 2 points wins the third then they get 1 Major. And everyone starts the next point from the baseline again with the losers feeding. First team to 5 majors wins. If the team that lost the first two points wins the 3rd then they move up to the service line and the other teams moves back from the net to the service line (like an elevator). You win a point you move up, you lose a point you move down",,v2,"The ""Elevator"" drill is a competitive game focused on strategic play, movement, and transition play from baseline to the net. Teams begin at the baseline, and a coin toss decides which team feeds first. The losing team of the toss feeds from behind the baseline and must wait until the opposing team is ready. Points are played out, and the team that wins a point advances closer to the net for the next point, while the losing team remains or moves further back. After winning the first point, the team starts the next point at the service line, while the losing team feeds from the baseline. If the same team wins the second point, they move to touch the net to start the third point, while the losing team feeds a lob from the baseline. If the winning team secures the third point, they earn a ""Major,"" and both teams reset to the baseline with the losing team feeding. The game continues with the goal of earning 5 Majors to win. However, if the team losing the first two points wins the third, they advance to the service line while the other team moves back to the service line from the net, mimicking an ""elevator"" effect. Winning points consistently moves a team closer to the net, while losing points pushes them back, creating dynamic shifts in positioning and strategy throughout the game."
The Mad Cow,Not Implemented,Singles Points,,Points,4 or more,Singles,Intermediate,None,20 minutes,"Teams split odd or even, toss to see who starts to feed. Feed can go anywhere as long as the feeder is behind the baseline and within the singles lines, play the point out. Loser runs off and the their teammate runs on and feeds anywhere. To win 1 Major, each player on the team has to win 1 point, or if there are an uneven number of players on each team, the team with the lower number of players has to win the number of points equal to the number of players on the opposing team, with the players repeating their order from first to last",,v2,"Teams split into odd or even, with a feeder behind the baseline; points are played out. To win a Major, each player must win a point, or the team with fewer players must win points equal to the opposing team's number. Game duration is 20 minutes."
Volley to Volley Dingles,Not Implemented,Volley/Doubles,,Points/Consistency,4,Doubles,Intermediate,None,15 minutes,Same as dingles but down the line volleys and play the point out when 1 person makes a mistake,,v2,
Suicide Race,Not Implemented,Fitness,,Speed,2,Fitness,Beginner,None,10 minutes,"Start on one tramline, run and touch each of the lines, including the center line, and run back to the first tramline. Repeat until you have touched each line and returned to the starting point every time. Then do the same thing but starting with the furthest line and finishing with the closest",,v2,"The ""Suicide"" drill is a high-intensity conditioning exercise designed to build speed, endurance, and agility. Players begin on one tramline and sprint to touch each successive line on the court, including the center line, before returning to the starting tramline after each touch. This pattern continues until every line on the court has been touched, always returning to the starting point between runs. Once completed, players reverse the sequence by starting with the furthest line and progressively working toward the closest, again returning to the starting point after touching each line. This drill challenges players to maintain their pace and focus while improving their court coverage and stamina."
"Drive, Volley, Smash / Climb the Ladder",Not Implemented,Volley,,Attack,2,Singles,Advanced,None,15 minutes,Player 1 is at the baseline and feeds a drive volley for player 2. Player 2 can go anywhere and they play out the point. Loser of the point becomesthe feeder. If Player 2 wins the point they move up the service line and player 1 feeds them a low volley (nice feed) and play out the point. If player 2 wins the second point they start with their racket on the net and player 1 feeds them a smash. Players have to win 3 points in a row to win a Major. First to 5 majors. If you lose the point you become the feeder and start from scratch.,,v2,"In the ""Climb the Ladder"" drill, two players compete in a progressive point system designed to improve various aspects of their net game. Player 1 starts at the baseline and feeds a drive volley for Player 2, who can place their return anywhere on the court as they play out the point. The winner of the point continues advancing up the ""ladder,"" while the loser becomes the feeder and starts from scratch. If Player 2 wins the first point, they move up to the service line, where Player 1 feeds them a low volley (with a controlled, nice feed) to play out the second point. If Player 2 wins the second point, they move to the net with their racket touching the tape, and Player 1 feeds them a smash to play out the third point. To secure a ""Major,"" a player must win three consecutive points, progressing through the drive volley, low volley, and smash stages. The first player to achieve 5 Majors wins the game. If a player loses any point, they revert to the feeder role and restart their climb. This drill combines precision, consistency, and competitive intensity, simulating high-pressure scenarios at the net."
Guardian of the zone,Not Implemented,Volley,,Consistency,2,Singles,Intermediate,None,15 minutes,"Player 1 should be in front of a marked-out zone of about 2 meters near the baseline. This zone should be defended at all costs. Player 2 feeds. If Player 2 gets a ball past Player 1 and into the zone, Player 2 gets two points. If Player 2 wins the point by forcing an error from Player 1, they earn one point. Player 1 can only score by winning the point. First to 10 points. The players then switch roles.",,v2,"The ""Guardian of the Zone"" drill challenges players to sharpen their defensive and offensive skills. Player 1 begins as the ""Guardian,"" positioned in front of a marked-out 2-meter zone near the baseline. The objective is to defend the zone at all costs. Player 2 starts as the feeder, initiating the point with a feed. If Player 2 successfully hits a ball past Player 1 into the marked zone, they earn 2 points. If Player 2 forces an error and wins the point, they earn 1 point. Player 1, the Guardian, can only score by winning the point outright through their defense or counterattack. The game continues until one player reaches 10 points, at which point the players switch roles. This drill emphasizes precision, quick reflexes, and strategic shot-making for both defensive and offensive play."
Spider,Not Implemented,Fitness,,Speed,1 or 2,Fitness,Beginner,None,10 minutes,"Player starts on the T at the baseline. Player has to run to each of the five line intersections in the back rectangle, and back to the starting position every time.",,v2,"The ""Spider"" drill is a dynamic agility exercise designed to enhance speed, stamina, and directional movement. The player begins at the ""T"" on the baseline and sprints to touch each of the five line intersections within the backcourt area—both corners of the baseline, both corners of the service line, and the center mark of the service line. After touching each intersection, the player returns to the starting position at the baseline ""T"" before moving on to the next target. This drill emphasizes explosive movement, efficient recovery, and court coverage, simulating the demands of quick changes in direction during a match."
3 serve game / 3 Shot Shoot-out,Not Implemented,Groundstrokes/Serve,,Attack,2,Singles,Intermediate,None,15 minutes,Server has to finish the point within 3 shots otherwise they automatically lose the point. Alternative is that they get 2 points if they win within 3 shots and 1 point if they win after more than 3 shots,The server should try to take the opponent off the court with their serve and play their second shot to the open space. If done well this should allow them to move up to the net and finish the point on their 3rd shot. The returner should try and push the server back with a deep return and try to maintain a neutral position on the court.,v2,"The ""3-Shot Shootout"" is a fast-paced drill designed to enhance aggressive play and precision under pressure. The server's goal is to finish the point within their first three shots (serve plus two additional hits). If they fail to do so, they automatically lose the point. Alternatively, a scoring variation rewards the server with 2 points for winning within 3 shots and 1 point for winning after more than 3 shots. "
Beat Bob,Not Implemented,Serve,,Consistency/Accuracy,1,Singles,Intermediate,None,15 minutes,"Imaginary player Bob gets a point if you miss the serve, you get the point if you make the serve. Play a full set. Can add variations like only 1 serve, have to hit only slice, have to hit in a certain area of the box…","In this drill the player should focus on consistency and placement over sheer power to outscore ""Bob."" Visualize the target area and try to build rhythm and control. Treat each serve as a real match point, practicing under the mental pressure of not giving away free points.",v2,"The ""Beat Bob"" drill is a creative serving game designed to improve accuracy and consistency under pressure. Players compete against an imaginary opponent, ""Bob."" If the player misses a serve, Bob earns a point; if the player makes the serve, they score a point. The game is played as a full set, adding a layer of competitive intensity. To increase the challenge, variations can be introduced, such as allowing only one serve, requiring slice serves, or mandating serves to land in a specific area of the service box. This drill not only enhances technical skills but also builds mental focus and strategic serving under different conditions."
Serve Percentage Drill,Not Implemented,Serve,,Consistency,1 or 2,Singles,Beginner,None,15 minutes,"Take 10 balls, choose a specific serve to hit (slice, kick…) see how many of the ten you get in",,v2,"The ""Serve Percentage Drill"" is a focused drill that sharpens serve accuracy and technique. Players start with 10 balls and choose a specific serve to practice, such as a slice, kick, or flat serve. The goal is to see how many of the 10 serves successfully land in the intended target area. This drill helps players refine their form, build consistency, and develop confidence in executing specialty serves under controlled conditions. It’s a fun way to track progress while adding an element of competition—players can aim to beat their previous scores or challenge others."
Serving in a row,Not Implemented,Serve,,Consistency,1 or 2,Singles,Intermediate,None,10 minutes,Divide both service boxes in thirds. The server has to serve one serve into each third starting from left to right and then going back from right to left. He has to do this back and forth to complete the drill (so a total of 12 serves in a row),,v2,"In the ""Serving in a Row"" drill, players work on precision and control by dividing each service box into three equal sections. The objective is for the server to land one serve in each section, starting from left to right, and then return from right to left. The drill requires the server to hit a total of 12 consecutive serves, moving systematically across all sections of both service boxes. This exercise challenges players to focus on placement and consistency, improving their ability to target specific areas of the service box during matches. The structured progression also develops mental discipline and adaptability under pressure."
Comeback Challenge,Not Implemented,Serve,,Consistency,2,Singles,Intermediate,None,15 minutes,Players play a set where the server starts at 0-30 in every game,,v2,"The ""Comeback Challenge"" drill is a competitive game designed to simulate high-pressure situations and develop resilience. Players play a set with a twist: the server begins every game at a 0-30 deficit. This forces the server to focus on effective serves, strategic point construction, and mental toughness to overcome the disadvantage. For the returner, the drill emphasizes capitalizing on opportunities and maintaining pressure to convert the lead into a game win. This scenario mimics real match conditions where players need to battle back from challenging positions, making it an excellent exercise for sharpening competitive instincts."
Dingles,Not Implemented,Doubles,,Points,4,Doubles,Intermediate,None,20 minutes,"Players start by playing a singles point down the line with the person directly in front of them (tramlines are in). When someone from either team misses or if a player hits a winner, then someone from the point that finished shouts out “Dingles” and the players play a doubles point with the remaining live ball on the full doubles court",,v2,"“Dingles” is a dynamic drill that combines singles and doubles play to enhance court awareness, reaction speed, and adaptability. Players begin by playing a singles point down the line, with the tramlines included, against the opponent directly in front of them. If one player misses or a winner is hit, someone from the finished point shouts “Dingles,” and the game transitions into a doubles point. The remaining live ball is then played out on the full doubles court with all four players participating. This seamless switch from singles to doubles challenges players to quickly adapt their strategies and positioning, making it a fun and fast-paced drill for all skill levels."
Ball drop react,Implemented,Fitness,,Reactions/Speed,2,Fitness,Beginner,None,10 mins,"Player 1 starts on the baseline, player 2 stands on the service line. Player 2 holds a ball in each hand, at shoulder height. Player 2 drops one of the balls. When a ball is dropped, player 1 must catch the ball before it bounces twice. ","The difficult can be changed by raising the starting position of the ball or by throwing them upwards. ",v1,
"Heads, shoulders, knees, toes, and ball",Implemented,Fitness,,Reactions,2,Fitness,Beginner,None,10 mins,"A ball is placed on the baseline. Player 1 and 2 face eachother and stand on either side of the ball. Player 3 calls out either heads, shoulders, knees, toes or ball. When a body part is called players must quickly place their hands on that part of their body. When ball is called the first player to grab the ball is the winner. ","Maintain a low base and a good ready position throughout. ",v1,
Number of bounces,Implemented,Fitness,,Reactions/Speed,2,Fitness,Beginner,None,10 mins,"Player 1 throws the ball in a challenging position for player 2 and calls out a number between 1 and 5. Player 2 must catch that ball in that many bounces. For example, if player 1 calls out 3, player 2 must catch the ball after 3 bounces. ","It's important to face the net at all time, as you would if you were playing tennis. And bend with the knees rather than the back.",v1,
Footwork warm up,Implemented,Fitness,,Footwork/Movement,2,Fitness,Beginner,None,10 mins,Focus on the four R's - Ready Read React RecoverStay in the service box and throw the ball over the net to the opponent and keep the rally going for 10-15 shots.,,v1,
Ladder Drill Precision,Implemented,Fitness,,Footwork/Movement,2,Fitness,Beginner,Ladder,15 minutes,Set up an agility ladder and targets on the court. The player performs footwork drills through the ladder and then hits a ball towards the target. This drill combines agility training with stroke accuracy.,"Combine fast footwork with accurate, controlled shots.",v1,
